model,train_variant,test_set,slice,value,n,accuracy,f1_macro
banglabert-adaptfull,augmented,clean,has_latin,False,4994,0.9345,0.9345
banglabert-adaptfull,augmented,clean,has_latin,True,34,0.9412,0.9183
banglabert-adaptfull,augmented,clean,hate_type_1,callToViolence,740,0.9419,0.485
banglabert-adaptfull,augmented,clean,hate_type_1,gender,370,0.9514,0.4875
banglabert-adaptfull,augmented,clean,hate_type_1,religion,100,0.95,0.4872
banglabert-adaptfull,augmented,clean,hate_type_1,slander,1206,0.9403,0.4846
banglabert-adaptfull,augmented,clean,target_1,female,529,0.9395,0.4844
banglabert-adaptfull,augmented,clean,target_1,group,292,0.9349,0.4832
banglabert-adaptfull,augmented,clean,target_1,ind,871,0.9357,0.4834
banglabert-adaptfull,augmented,clean,target_1,male,724,0.9572,0.4891
banglabert-adaptfull,augmented,clean,near_dup_train,False,4922,0.9334,0.9333
banglabert-adaptfull,augmented,clean,near_dup_train,True,106,0.9906,0.9905
banglabert-nct,clean,clean,len_bucket,1-5w,1522,0.9277,0.9272
banglabert-nct,clean,clean,len_bucket,6-15w,2315,0.9356,0.9355
banglabert-nct,clean,clean,len_bucket,16-30w,824,0.9041,0.9041
banglabert-nct,clean,clean,len_bucket,>30w,367,0.9019,0.8998
banglabert-nct,clean,clean,has_latin,False,4994,0.9255,0.9255
banglabert-nct,clean,clean,has_latin,True,34,0.9412,0.9183
banglabert-nct,clean,clean,hate_type_1,callToViolence,740,0.9514,0.4875
banglabert-nct,clean,clean,hate_type_1,gender,370,0.9514,0.4875
banglabert-nct,clean,clean,hate_type_1,religion,100,0.93,0.4819
banglabert-nct,clean,clean,hate_type_1,slander,1206,0.9436,0.4855
banglabert-nct,clean,clean,target_1,female,529,0.9433,0.4854
banglabert-nct,clean,clean,target_1,group,292,0.9384,0.4841
banglabert-nct,clean,clean,target_1,ind,871,0.938,0.484
banglabert-nct,clean,clean,target_1,male,724,0.9627,0.4905
banglabert-nct,clean,clean,near_dup_train,False,4922,0.9244,0.9244
banglabert-nct,clean,clean,near_dup_train,True,106,0.9811,0.9811
majority,clean,clean,len_bucket,1-5w,1522,0.5473,0.3537
majority,clean,clean,len_bucket,6-15w,2315,0.4898,0.3288
majority,clean,clean,len_bucket,16-30w,824,0.5231,0.3434
majority,clean,clean,len_bucket,>30w,367,0.5831,0.3683
majority,clean,clean,has_latin,False,4994,0.518,0.3412
majority,clean,clean,has_latin,True,34,0.7353,0.4237
majority,clean,clean,hate_type_1,callToViolence,740,0.0,0.0
majority,clean,clean,hate_type_1,gender,370,0.0,0.0
majority,clean,clean,hate_type_1,religion,100,0.0,0.0
majority,clean,clean,hate_type_1,slander,1206,0.0,0.0
majority,clean,clean,target_1,female,529,0.0,0.0
majority,clean,clean,target_1,group,292,0.0,0.0
majority,clean,clean,target_1,ind,871,0.0,0.0
majority,clean,clean,target_1,male,724,0.0,0.0
majority,clean,clean,near_dup_train,False,4922,0.5193,0.3418
majority,clean,clean,near_dup_train,True,106,0.5283,0.3457
muril-base-cased,augmented,clean,len_bucket,1-5w,1522,0.9264,0.9259
muril-base-cased,augmented,clean,len_bucket,6-15w,2315,0.9296,0.9295
muril-base-cased,augmented,clean,len_bucket,16-30w,824,0.9114,0.9114
muril-base-cased,augmented,clean,len_bucket,>30w,367,0.8828,0.8804
muril-base-cased,augmented,clean,has_latin,False,4994,0.9223,0.9223
muril-base-cased,augmented,clean,has_latin,True,34,0.9118,0.8717
muril-base-cased,augmented,clean,hate_type_1,callToViolence,740,0.9541,0.4882
muril-base-cased,augmented,clean,hate_type_1,gender,370,0.9324,0.4825
muril-base-cased,augmented,clean,hate_type_1,religion,100,0.93,0.4819
muril-base-cased,augmented,clean,hate_type_1,slander,1206,0.9386,0.4842
muril-base-cased,augmented,clean,target_1,female,529,0.9319,0.4824
muril-base-cased,augmented,clean,target_1,group,292,0.9212,0.4795
muril-base-cased,augmented,clean,target_1,ind,871,0.9357,0.4834
muril-base-cased,augmented,clean,target_1,male,724,0.9655,0.4912
muril-base-cased,augmented,clean,near_dup_train,False,4922,0.921,0.9209
muril-base-cased,augmented,clean,near_dup_train,True,106,0.9811,0.9811
muril-base-cased,clean,clean,len_bucket,1-5w,1522,0.9244,0.9238
muril-base-cased,clean,clean,len_bucket,6-15w,2315,0.9214,0.9213
muril-base-cased,clean,clean,len_bucket,16-30w,824,0.9078,0.9077
muril-base-cased,clean,clean,len_bucket,>30w,367,0.8856,0.8831
muril-base-cased,clean,clean,has_latin,False,4994,0.9175,0.9175
muril-base-cased,clean,clean,has_latin,True,34,0.9118,0.8717
muril-base-cased,clean,clean,hate_type_1,callToViolence,740,0.9378,0.484
muril-base-cased,clean,clean,hate_type_1,gender,370,0.9108,0.4767
muril-base-cased,clean,clean,hate_type_1,religion,100,0.95,0.4872
muril-base-cased,clean,clean,hate_type_1,slander,1206,0.927,0.4811
muril-base-cased,clean,clean,target_1,female,529,0.9149,0.4778
muril-base-cased,clean,clean,target_1,group,292,0.9178,0.4786
muril-base-cased,clean,clean,target_1,ind,871,0.9196,0.4791
muril-base-cased,clean,clean,target_1,male,724,0.9544,0.4883
muril-base-cased,clean,clean,near_dup_train,False,4922,0.9161,0.916
muril-base-cased,clean,clean,near_dup_train,True,106,0.9811,0.9811
tfidf_lr,aug_dia,clean,len_bucket,1-5w,1522,0.9244,0.9237
tfidf_lr,aug_dia,clean,len_bucket,6-15w,2315,0.9114,0.9114
tfidf_lr,aug_dia,clean,len_bucket,16-30w,824,0.8701,0.8698
tfidf_lr,aug_dia,clean,len_bucket,>30w,367,0.861,0.8558
tfidf_lr,aug_dia,clean,has_latin,False,4994,0.9051,0.9048
tfidf_lr,aug_dia,clean,has_latin,True,34,0.8824,0.8365
tfidf_lr,aug_dia,clean,hate_type_1,callToViolence,740,0.8973,0.4729
tfidf_lr,aug_dia,clean,hate_type_1,gender,370,0.8676,0.4645
tfidf_lr,aug_dia,clean,hate_type_1,religion,100,0.88,0.4681
tfidf_lr,aug_dia,clean,hate_type_1,slander,1206,0.8856,0.4697
tfidf_lr,aug_dia,clean,target_1,female,529,0.8885,0.4705
tfidf_lr,aug_dia,clean,target_1,group,292,0.8664,0.4642
tfidf_lr,aug_dia,clean,target_1,ind,871,0.8726,0.466
tfidf_lr,aug_dia,clean,target_1,male,724,0.9088,0.4761
tfidf_lr,aug_dia,clean,near_dup_train,False,4922,0.9037,0.9034
tfidf_lr,aug_dia,clean,near_dup_train,True,106,0.9623,0.9622
tfidf_lr,augmented,clean,len_bucket,1-5w,1522,0.9231,0.9224
tfidf_lr,augmented,clean,len_bucket,6-15w,2315,0.9123,0.9123
tfidf_lr,augmented,clean,len_bucket,16-30w,824,0.875,0.8746
tfidf_lr,augmented,clean,len_bucket,>30w,367,0.8556,0.8498
tfidf_lr,augmented,clean,has_latin,False,4994,0.9055,0.9052
tfidf_lr,augmented,clean,has_latin,True,34,0.8824,0.8365
tfidf_lr,augmented,clean,hate_type_1,callToViolence,740,0.9014,0.4741
tfidf_lr,augmented,clean,hate_type_1,gender,370,0.8568,0.4614
tfidf_lr,augmented,clean,hate_type_1,religion,100,0.89,0.4709
tfidf_lr,augmented,clean,hate_type_1,slander,1206,0.8831,0.469
tfidf_lr,augmented,clean,target_1,female,529,0.8847,0.4694
tfidf_lr,augmented,clean,target_1,group,292,0.863,0.4632
tfidf_lr,augmented,clean,target_1,ind,871,0.8749,0.4666
tfidf_lr,augmented,clean,target_1,male,724,0.9061,0.4754
tfidf_lr,augmented,clean,near_dup_train,False,4922,0.9041,0.9038
tfidf_lr,augmented,clean,near_dup_train,True,106,0.9623,0.9622
tfidf_lr,clean,clean,len_bucket,1-5w,1522,0.9231,0.9222
tfidf_lr,clean,clean,len_bucket,6-15w,2315,0.9093,0.9093
tfidf_lr,clean,clean,len_bucket,16-30w,824,0.8774,0.877
tfidf_lr,clean,clean,len_bucket,>30w,367,0.8501,0.8451
tfidf_lr,clean,clean,has_latin,False,4994,0.9041,0.9038
tfidf_lr,clean,clean,has_latin,True,34,0.8824,0.8365
tfidf_lr,clean,clean,hate_type_1,callToViolence,740,0.8932,0.4718
tfidf_lr,clean,clean,hate_type_1,gender,370,0.8459,0.4583
tfidf_lr,clean,clean,hate_type_1,religion,100,0.9,0.4737
tfidf_lr,clean,clean,hate_type_1,slander,1206,0.8798,0.468
tfidf_lr,clean,clean,target_1,female,529,0.8809,0.4683
tfidf_lr,clean,clean,target_1,group,292,0.863,0.4632
tfidf_lr,clean,clean,target_1,ind,871,0.8645,0.4637
tfidf_lr,clean,clean,target_1,male,724,0.9033,0.4746
tfidf_lr,clean,clean,near_dup_train,False,4922,0.9025,0.9021
tfidf_lr,clean,clean,near_dup_train,True,106,0.9717,0.9716
tfidf_lr,dialect,clean,len_bucket,1-5w,1522,0.9244,0.9236
tfidf_lr,dialect,clean,len_bucket,6-15w,2315,0.9093,0.9093
tfidf_lr,dialect,clean,len_bucket,16-30w,824,0.8689,0.8686
tfidf_lr,dialect,clean,len_bucket,>30w,367,0.8665,0.862
tfidf_lr,dialect,clean,has_latin,False,4994,0.9043,0.904
tfidf_lr,dialect,clean,has_latin,True,34,0.8824,0.8365
tfidf_lr,dialect,clean,hate_type_1,callToViolence,740,0.8932,0.4718
tfidf_lr,dialect,clean,hate_type_1,gender,370,0.8486,0.4591
tfidf_lr,dialect,clean,hate_type_1,religion,100,0.91,0.4764
tfidf_lr,dialect,clean,hate_type_1,slander,1206,0.8881,0.4704
tfidf_lr,dialect,clean,target_1,female,529,0.8809,0.4683
tfidf_lr,dialect,clean,target_1,group,292,0.8801,0.4681
tfidf_lr,dialect,clean,target_1,ind,871,0.868,0.4647
tfidf_lr,dialect,clean,target_1,male,724,0.9088,0.4761
tfidf_lr,dialect,clean,near_dup_train,False,4922,0.9031,0.9028
tfidf_lr,dialect,clean,near_dup_train,True,106,0.9528,0.9527
tfidf_svm,aug_dia,clean,len_bucket,1-5w,1522,0.9185,0.9178
tfidf_svm,aug_dia,clean,len_bucket,6-15w,2315,0.9071,0.9071
tfidf_svm,aug_dia,clean,len_bucket,16-30w,824,0.8689,0.8687
tfidf_svm,aug_dia,clean,len_bucket,>30w,367,0.8447,0.8401
tfidf_svm,aug_dia,clean,has_latin,False,4994,0.8999,0.8997
tfidf_svm,aug_dia,clean,has_latin,True,34,0.8824,0.8365
tfidf_svm,aug_dia,clean,hate_type_1,callToViolence,740,0.9027,0.4744
tfidf_svm,aug_dia,clean,hate_type_1,gender,370,0.8784,0.4676
tfidf_svm,aug_dia,clean,hate_type_1,religion,100,0.88,0.4681
tfidf_svm,aug_dia,clean,hate_type_1,slander,1206,0.8889,0.4706
tfidf_svm,aug_dia,clean,target_1,female,529,0.8904,0.471
tfidf_svm,aug_dia,clean,target_1,group,292,0.8699,0.4652
tfidf_svm,aug_dia,clean,target_1,ind,871,0.8772,0.4673
tfidf_svm,aug_dia,clean,target_1,male,724,0.9171,0.4784
tfidf_svm,aug_dia,clean,near_dup_train,False,4922,0.8984,0.8982
tfidf_svm,aug_dia,clean,near_dup_train,True,106,0.9623,0.9622
tfidf_svm,augmented,clean,len_bucket,1-5w,1522,0.9205,0.9198
tfidf_svm,augmented,clean,len_bucket,6-15w,2315,0.9076,0.9075
tfidf_svm,augmented,clean,len_bucket,16-30w,824,0.8726,0.8724
tfidf_svm,augmented,clean,len_bucket,>30w,367,0.8447,0.8412
tfidf_svm,augmented,clean,has_latin,False,4994,0.9011,0.9009
tfidf_svm,augmented,clean,has_latin,True,34,0.9118,0.8824
tfidf_svm,augmented,clean,hate_type_1,callToViolence,740,0.9095,0.4763
tfidf_svm,augmented,clean,hate_type_1,gender,370,0.8784,0.4676
tfidf_svm,augmented,clean,hate_type_1,religion,100,0.91,0.4764
tfidf_svm,augmented,clean,hate_type_1,slander,1206,0.893,0.4717
tfidf_svm,augmented,clean,target_1,female,529,0.8979,0.4731
tfidf_svm,augmented,clean,target_1,group,292,0.887,0.4701
tfidf_svm,augmented,clean,target_1,ind,871,0.8817,0.4686
tfidf_svm,augmented,clean,target_1,male,724,0.9171,0.4784
tfidf_svm,augmented,clean,near_dup_train,False,4922,0.8998,0.8997
tfidf_svm,augmented,clean,near_dup_train,True,106,0.9623,0.9622
tfidf_svm,clean,clean,len_bucket,1-5w,1522,0.9192,0.9182
tfidf_svm,clean,clean,len_bucket,6-15w,2315,0.9076,0.9076
tfidf_svm,clean,clean,len_bucket,16-30w,824,0.8774,0.877
tfidf_svm,clean,clean,len_bucket,>30w,367,0.8474,0.8418
tfidf_svm,clean,clean,has_latin,False,4994,0.9019,0.9016
tfidf_svm,clean,clean,has_latin,True,34,0.8824,0.8365
tfidf_svm,clean,clean,hate_type_1,callToViolence,740,0.8892,0.4707
tfidf_svm,clean,clean,hate_type_1,gender,370,0.8405,0.4567
tfidf_svm,clean,clean,hate_type_1,religion,100,0.87,0.4652
tfidf_svm,clean,clean,hate_type_1,slander,1206,0.8789,0.4678
tfidf_svm,clean,clean,target_1,female,529,0.8715,0.4657
tfidf_svm,clean,clean,target_1,group,292,0.8596,0.4622
tfidf_svm,clean,clean,target_1,ind,871,0.8576,0.4617
tfidf_svm,clean,clean,target_1,male,724,0.9075,0.4757
tfidf_svm,clean,clean,near_dup_train,False,4922,0.9002,0.8999
tfidf_svm,clean,clean,near_dup_train,True,106,0.9717,0.9716
tfidf_svm,dialect,clean,len_bucket,1-5w,1522,0.9192,0.9184
tfidf_svm,dialect,clean,len_bucket,6-15w,2315,0.9067,0.9067
tfidf_svm,dialect,clean,len_bucket,16-30w,824,0.8665,0.8662
tfidf_svm,dialect,clean,len_bucket,>30w,367,0.861,0.8575
tfidf_svm,dialect,clean,has_latin,False,4994,0.9007,0.9005
tfidf_svm,dialect,clean,has_latin,True,34,0.8824,0.8365
tfidf_svm,dialect,clean,hate_type_1,callToViolence,740,0.9027,0.4744
tfidf_svm,dialect,clean,hate_type_1,gender,370,0.8649,0.4638
tfidf_svm,dialect,clean,hate_type_1,religion,100,0.9,0.4737
tfidf_svm,dialect,clean,hate_type_1,slander,1206,0.8914,0.4713
tfidf_svm,dialect,clean,target_1,female,529,0.8847,0.4694
tfidf_svm,dialect,clean,target_1,group,292,0.8801,0.4681
tfidf_svm,dialect,clean,target_1,ind,871,0.876,0.467
tfidf_svm,dialect,clean,target_1,male,724,0.9185,0.4788
tfidf_svm,dialect,clean,near_dup_train,False,4922,0.8992,0.899
tfidf_svm,dialect,clean,near_dup_train,True,106,0.9623,0.9622
xlm-roberta-base,aug_dia,clean,len_bucket,1-5w,1522,0.931,0.9306
xlm-roberta-base,aug_dia,clean,len_bucket,6-15w,2315,0.9179,0.9178
xlm-roberta-base,aug_dia,clean,len_bucket,16-30w,824,0.8993,0.8993
xlm-roberta-base,aug_dia,clean,len_bucket,>30w,367,0.891,0.8887
xlm-roberta-base,aug_dia,clean,has_latin,False,4994,0.9169,0.9169
xlm-roberta-base,aug_dia,clean,has_latin,True,34,0.9118,0.8717
xlm-roberta-base,aug_dia,clean,hate_type_1,callToViolence,740,0.9392,0.4843
xlm-roberta-base,aug_dia,clean,hate_type_1,gender,370,0.9351,0.4832
xlm-roberta-base,aug_dia,clean,hate_type_1,religion,100,0.94,0.4845
xlm-roberta-base,aug_dia,clean,hate_type_1,slander,1206,0.937,0.4837
xlm-roberta-base,aug_dia,clean,target_1,female,529,0.9395,0.4844
xlm-roberta-base,aug_dia,clean,target_1,group,292,0.9281,0.4813
xlm-roberta-base,aug_dia,clean,target_1,ind,871,0.9288,0.4815
xlm-roberta-base,aug_dia,clean,target_1,male,724,0.9503,0.4873
xlm-roberta-base,aug_dia,clean,near_dup_train,False,4922,0.9157,0.9157
xlm-roberta-base,aug_dia,clean,near_dup_train,True,106,0.9717,0.9716
xlm-roberta-base,augmented,clean,len_bucket,1-5w,1522,0.9231,0.9226
xlm-roberta-base,augmented,clean,len_bucket,6-15w,2315,0.9218,0.9217
xlm-roberta-base,augmented,clean,len_bucket,16-30w,824,0.8956,0.8956
xlm-roberta-base,augmented,clean,len_bucket,>30w,367,0.8774,0.8747
xlm-roberta-base,augmented,clean,has_latin,False,4994,0.9147,0.9147
xlm-roberta-base,augmented,clean,has_latin,True,34,0.9118,0.8717
xlm-roberta-base,augmented,clean,hate_type_1,callToViolence,740,0.9419,0.485
xlm-roberta-base,augmented,clean,hate_type_1,gender,370,0.9216,0.4796
xlm-roberta-base,augmented,clean,hate_type_1,religion,100,0.94,0.4845
xlm-roberta-base,augmented,clean,hate_type_1,slander,1206,0.932,0.4824
xlm-roberta-base,augmented,clean,target_1,female,529,0.9282,0.4814
xlm-roberta-base,augmented,clean,target_1,group,292,0.9247,0.4804
xlm-roberta-base,augmented,clean,target_1,ind,871,0.9265,0.4809
xlm-roberta-base,augmented,clean,target_1,male,724,0.9503,0.4873
xlm-roberta-base,augmented,clean,near_dup_train,False,4922,0.9134,0.9134
xlm-roberta-base,augmented,clean,near_dup_train,True,106,0.9717,0.9716
xlm-roberta-base,clean,clean,len_bucket,1-5w,1522,0.9218,0.9211
xlm-roberta-base,clean,clean,len_bucket,6-15w,2315,0.9158,0.9157
xlm-roberta-base,clean,clean,len_bucket,16-30w,824,0.8956,0.8956
xlm-roberta-base,clean,clean,len_bucket,>30w,367,0.8774,0.8747
xlm-roberta-base,clean,clean,has_latin,False,4994,0.9115,0.9114
xlm-roberta-base,clean,clean,has_latin,True,34,0.9118,0.8717
xlm-roberta-base,clean,clean,hate_type_1,callToViolence,740,0.927,0.4811
xlm-roberta-base,clean,clean,hate_type_1,gender,370,0.8892,0.4707
xlm-roberta-base,clean,clean,hate_type_1,religion,100,0.94,0.4845
xlm-roberta-base,clean,clean,hate_type_1,slander,1206,0.9245,0.4804
xlm-roberta-base,clean,clean,target_1,female,529,0.913,0.4773
xlm-roberta-base,clean,clean,target_1,group,292,0.911,0.4767
xlm-roberta-base,clean,clean,target_1,ind,871,0.9173,0.4784
xlm-roberta-base,clean,clean,target_1,male,724,0.9337,0.4829
xlm-roberta-base,clean,clean,near_dup_train,False,4922,0.9102,0.9101
xlm-roberta-base,clean,clean,near_dup_train,True,106,0.9717,0.9716
banglabert,aug_dia,bidwesh_heldout,dialect,barishal,1439,0.9124,0.9124
banglabert,aug_dia,bidwesh_heldout,dialect,chittagong,1494,0.8862,0.8862
banglabert,aug_dia,bidwesh_heldout,dialect,noakhali,1475,0.901,0.9009
banglabert,aug_dia,bidwesh_heldout,len_bucket,1-5w,1145,0.8996,0.8996
banglabert,aug_dia,bidwesh_heldout,len_bucket,6-15w,2276,0.9095,0.9091
banglabert,aug_dia,bidwesh_heldout,len_bucket,16-30w,851,0.8731,0.8727
banglabert,aug_dia,bidwesh_heldout,len_bucket,>30w,135,0.9037,0.9006
banglabert,aug_dia,bidwesh_heldout,hate_type_1,callToViolence,583,0.9468,0.4863
banglabert,aug_dia,bidwesh_heldout,hate_type_1,gender,321,0.9377,0.4839
banglabert,aug_dia,bidwesh_heldout,hate_type_1,religion,94,0.9255,0.4807
banglabert,aug_dia,bidwesh_heldout,hate_type_1,slander,1184,0.9062,0.4754
banglabert,aug_dia,bidwesh_heldout,target_1,female,430,0.9,0.4737
banglabert,aug_dia,bidwesh_heldout,target_1,group,357,0.9412,0.4848
banglabert,aug_dia,bidwesh_heldout,target_1,ind,705,0.8993,0.4735
banglabert,aug_dia,bidwesh_heldout,target_1,male,690,0.9507,0.4874
banglabert,augmented,bidwesh_heldout,dialect,barishal,1439,0.9138,0.9138
